"","term","E","P","A","instcodes"
"340","penalize",-0.43,1.5,0.785," 10 010110010 000"
"341","pester",-1.78,-0.09,1.215," 10 110000011 010"
"342","pet",1.07,0.18,-0.165," 10 000000011 001"
"343","photograph",1.45,1.04,-0.08," 10 100000010 000"
"344","pinch",-1.38,-0.245,0.955," 10 100001011 101"
"345","place_order_with",1.28,0.695,0.725," 10 010000000 000"
"346","play_with",2.24,1.325,1.66," 10 100000011 100"
"347","plead_with",-0.395,-0.885,0.075," 10 111111111 000"
"348","point_at",-0.925,0.39,0.105," 10 111111111 000"
"349","poke_fun_at",-1.625,-0.08,0.95," 10 111111111 010"
"350","poke",-0.73,-0.22,0.245," 10 100001011 001"
"351","pooh_pooh",-1.635,-0.755,-0.115," 10 111111111 000"
"352","praise",2.285,1.89,0.85," 10 111111111 000"
"353","pray_with",2.17,1.975,-1.2," 10 000100100 000"
"354","prod",-0.74,0.495,0.62," 10 101001011 101"
"355","promise_something_to",1.285,1.455,0.46," 10 111111111 000"
"356","prompt",0.505,0.57,0.385," 10 111111111 010"
"357","propose_marriage_to",3.135,2.59,0.91," 10 000000001 000"
"358","prosecute",-0.425,1.27,1.12," 10 001000000 010"
"359","protect",2.77,2.445,0.97," 10 101101010 010"
"360","pull_away_from",-0.87,0.245,-0.2," 10 100001011 001"
"361","punch",-2.235,0.585,1.405," 10 101000000 001"
"362","punish",-0.465,1.065,0.705," 10 111111111 100"
"363","pursue",0.945,1.01,0.925," 10 001101001 000"
"364","push",-1.535,0.38,0.965," 10 101000010 001"
"365","put_to_bed",1.69,1.34,-1.43," 10 000001010 001"
"366","quarrel_with",-1.295,0.165,1.2," 10 111111111 000"
"367","query",0.65,0.755,0.805," 10 111111111 000"
"368","question",0.54,0.74,0.4," 10 111111111 000"
"369","quibble_with",-1.12,-0.325,0.81," 10 111111111 000"
"370","quiet",0.085,0.8,-0.6," 10 111111111 000"
"371","quiz",0.085,0.89,0.58," 10 111111111 000"
"372","raise_the_pay_of",2.4,1.955,0.835," 10 010000000 000"
"373","rant_at",-1.09,0.155,1.44," 10 111111111 000"
"374","rape",-3.575,0.1,1.455," 10 100000001 001"
"375","ravish",-0.75,0.87,0.63," 10 000000001 001"
"376","reason_with",2.075,1.81,0.63," 10 111111111 100"
"377","reassure",2.225,1.73,0.005," 10 111111111 100"
"378","rebuff",-0.71,0.37,0.485," 10 100100101 010"
"379","rebuke",-0.29,0.625,0.395," 10 111111111 000"
"380","reform",0.715,1.115,0.155," 01 101000110 100"
"381","rehabilitate",2.565,2.275,0.27," 01 001001000 000"
"382","remind",1.795,1.335,0.26," 10 111111111 100"
"383","renounce",-1.035,0.025,0.015," 10 100100110 010"
"384","reply_to",1.63,1.375,0.665," 10 111111111 000"
"385","reprimand",-0.85,0.6,0.885," 10 111111111 000"
"386","reproach",-0.055,1.005,0.555," 10 111111111 100"
"387","request_something_from",0.47,-0.145,-0.01," 10 111111111 000"
"388","rescue",3.135,2.925,2.14," 10 101101010 010"
"389","restrain",-0.61,1.005,1.195," 10 001001011 101"
"390","retaliate_against",-1.325,0.49,0.85," 10 000100000 010"
"391","reward",2.58,2.055,1.145," 10 000110110 100"
"392","rib",-0.83,0.14,0.495," 10 110110011 000"
"393","ridicule",-2.38,-0.03,0.675," 10 111111111 000"
"394","rob",-2.985,-0.16,0.375," 10 111000000 000"
"395","rough_house_with",0.175,0.53,1.63," 10 100000011 001"
"396","rouse",0.125,1.07,1.19," 10 100101011 100"
"397","salute",0.88,0.895,-0.025," 10 000100000 000"
"398","save",3.04,2.89,1.89," 10 101101110 100"
"399","say_farewell_to",-0.15,0.26,-0.93," 10 111111111 000"
"400","scoff_at",-1.77,-0.4,-0.345," 10 111111111 000"
"401","scold",-1.45,1.04,1.495," 10 111111111 000"
"402","scowl_at",-1.94,0,0.045," 10 111111111 000"
"403","scratch",-1.085,-0.02,0.51," 10 101001011 101"
"404","scream_at",-1.9,0.345,2.03," 10 100001111 000"
"405","scrutinize",-1.635,-0.46,-0.37," 10 111111111 100"
"406","search",-0.53,0.845,0.275," 10 001000000 001"
"407","seduce",0.39,0.965,0.44," 01 000000001 000"
"408","seize",-1.405,1.105,1.265," 10 001000000 011"
"409","sell_something_to",1.305,1.375,1.345," 10 010000000 000"
"410","sentence",-0.43,1.945,0.455," 10 001000000 010"
"411","serenade",1.96,1.535,0.81," 10 000000011 000"
