"","term","E","P","A","instcodes"
"196","disease_carrier",-1.9,-0.26,-1.48," 11 100001000 000"
"197","divorcee_(gender_neutral)",-0.63,-0.14,-0.25," 01 000000010 000"
"198","doctor_(ph.d.)",1.85,1.53,-0.33," 11 000010000 000"
"199","dropout",-0.74,-0.99,-0.54," 11 000010000 000"
"200","drudge",0.6,-0.02,-0.55," 11 110010000 000"
"201","drug_addict",-2.89,-2.06,-2.22," 11 001001000 000"
"202","drunkard",-2.35,-0.2,-0.67," 11 100000000 000"
"203","dullard",-1.28,-1.36,-1.16," 11 000010000 000"
"204","dwarf",-0.74,-1.35,-1.35," 11 100001000 000"
"205","educator",1.15,1.16,0.04," 11 000010000 000"
"206","electrical_engineer",1.26,1.46,0.49," 11 010000000 000"
"207","electrician",1.36,0.74,0.62," 11 010000000 000"
"208","elementary_school_student",1.68,-1.11,2.54," 11 000010000 000"
"209","elementary_school_teacher",1.2,0.61,1.01," 11 000010000 000"
"210","emigrant",0.55,-0.29,0.27," 11 000100000 000"
"211","employee",0.69,-0.36,0.88," 11 010000000 000"
"212","employer",-0.29,1.32,-0.1," 11 010000000 000"
"213","enemy",-2.7,0.59,-0.19," 11 100100000 001"
"214","engineer",1.62,1.35,0.72," 11 010000000 000"
"215","entrepreneur",0.95,1.75,1.33," 11 010000000 000"
"216","environmentalist",2.49,1.06,1.17," 11 110100000 000"
"217","executioner",-1.1,0.21,-1.25," 11 001100000 001"
"218","executive",0.81,1.49,-0.3," 11 010000000 000"
"219","executive_vice_president",0.29,0.73,0.17," 11 010000000 000"
"220","expectant_mother",1.97,0.12,0.56," 01 000001010 000"
"221","expert",1.48,1.5,-0.08," 11 111111100 000"
"222","extrovert",1.85,1.76,2.87," 11 100000000 000"
"223","eyewitness",0.87,0.93,-0.02," 11 001000000 000"
"224","fanatic",-0.28,0.91,2.61," 11 100100000 000"
"225","farm_laborer",1.18,0.46,0.89," 11 010000000 000"
"226","farmer",0.97,0.22,0.58," 11 010000000 000"
"227","father",2.46,2.39,0.79," 10 000000010 001"
"228","father_in_law",1.3,0.87,0.4," 10 000000010 000"
"229","father_in_law_(maternal)",1.18,1.19,0.01," 10 000000010 000"
"230","father_in_law_(paternal)",1.24,0.99,-0.71," 10 000000010 000"
"231","female",2.04,0.42,1.93," 01 100000001 000"
"232","feminist",0.87,1.11,1.68," 11 000100000 000"
"233","firefighter",1.73,1.74,1.62," 10 101000000 001"
"234","firstborn_(female)",1.56,0.97,0.61," 01 000000010 000"
"235","firstborn_(male)",1.46,1.47,0.35," 10 000000010 000"
"236","fisherman",1,0.38,0.79," 11 110000000 000"
"237","flatterer",-2.54,-1.3,0.47," 11 100000000 000"
"238","flight_attendant",2.5,1.2,2.44," 11 010000000 000"
"239","follower",-0.69,-0.66,0.11," 11 100100100 000"
"240","foreign_minister",1.63,2.01,1.06," 11 000100000 000"
"241","foreigner",0.4,0.66,1.08," 11 000100000 000"
"242","fortune_teller",-0.74,-0.45,-0.31," 11 010000100 000"
"243","gambler",-2.51,-0.77,-0.88," 11 110000000 000"
"244","gangster",-2.96,1.34,-0.27," 10 011000000 000"
"245","garbage_collector",-0.3,-0.88,-0.92," 11 010000000 000"
"246","gate_keeper",0.31,0.17,-0.37," 11 000100000 000"
"247","gay",-1.25,-0.91,-0.31," 11 000000001 000"
"248","general",1.68,2.35,0.44," 11 000100000 000"
"249","general_manager",0.67,2.03,0.52," 11 010000000 000"
"250","genius",1.4,1.2,1.73," 11 101111000 000"
"251","gentleman",1.37,1.15,-0.53," 10 100000000 000"
"252","girl",2.38,-0.27,1.93," 01 100000001 000"
"253","girlfriend",2.18,1.05,2.25," 01 000000001 001"
"254","god",0.95,0.74,-0.49," 11 000000100 000"
"255","golfer",1.06,0.58,0.43," 11 100000000 000"
"256","gourmet",1.74,0.59,1.58," 11 100000000 000"
"257","graduate_student",1.69,1.13,1.19," 11 000010000 000"
"258","granddaughter_(maternal)",1.91,-0.3,2.09," 01 000000010 000"
"259","granddaughter_(paternal)",1.81,-0.66,1.97," 01 000000010 000"
"260","grandfather_(maternal)",1.84,1.09,-0.58," 10 000000010 000"
"261","grandfather_(paternal)",1.84,1.3,-1," 10 000000010 000"
"262","grandmother_(maternal)",2.19,0.91,-0.97," 01 000000010 000"
"263","grandmother_(paternal)",1.89,0.38,-0.73," 01 000000010 000"
"264","grandson_(maternal)",1.56,-0.84,2.41," 10 000000010 000"
"265","grandson_(paternal)",1.79,-0.37,2.28," 10 000000010 000"
"266","greenhorn",-0.36,-0.57,-0.22," 11 100000000 000"
"267","grind",-0.83,-1.45,-2.1," 11 000010000 000"
"268","guarantor",0.8,1.02,-0.24," 11 011000000 000"
"269","guest",1.14,0.9,1.42," 11 100000010 000"
"270","gunman",-2.81,1.39,-0.42," 10 001000000 001"
"271","gynecologist",0.83,1.01,-0.53," 11 000001001 101"
"272","hag",-1.82,0.22,-1.42," 01 100000000 000"
"273","hero",2.4,2.34,1.49," 10 100000000 000"
"274","heroine",2.31,2.05,1.81," 01 100000000 000"
"275","heterosexual",1.11,0.97,1.61," 11 000000001 000"
"276","hick",0.57,-0.24,0.37," 11 100000000 000"
"277","high_school_principal",0.7,0.83,-0.15," 11 000010000 000"
"278","high_school_student",1.35,0.28,1.52," 11 000010000 000"
"279","high_school_teacher",1.11,1.24,0.43," 11 000010000 000"
"280","hijacker",-2.71,1.11,0.27," 11 011100000 001"
"281","homeless_person",-0.09,-1.01,-1.22," 11 100000000 000"
"282","hostage",0.06,-1.92,-1.67," 11 001100000 001"
"283","hourly_wage_earner",0.86,-0.84,0.2," 11 010000000 000"
"284","housebreaker",-2.94,1.11,0.29," 11 001000000 000"
"285","housewife",1.05,0.11,0.01," 01 000000010 000"
"286","humanitarian",2.15,0.94,1.13," 11 100000000 000"
"287","hunger_striker",-0.07,-0.42,-0.52," 11 000100000 001"
"288","husband",2.54,2.26,1.56," 10 000000011 001"
"289","hypochondriac",-0.92,-1.21,-2.62," 11 000001000 000"
"290","idiot",-1.32,-1.44,-1.14," 11 100000000 000"
"291","ignoramus",-1.43,-1.61,-0.64," 11 100010000 000"
"292","illiterate",-1.47,-1.31,-0.5," 11 100010000 000"
"293","immigration_officer",-0.2,1.04,-0.79," 11 001000000 000"
"294","in_law",1.17,0.29,0.64," 11 000000010 000"
"295","infant",1.99,-1.93,1.73," 11 000001010 001"
"296","information_researcher",0.39,1.44,0.16," 11 010010000 000"
"297","ingrate",-2.97,-0.8,-0.74," 11 100000000 000"
"298","insurance_agent",0.4,0.49,1.09," 11 010000000 000"
"299","intellectual",1.61,0.9,-0.9," 11 100010000 000"
"300","internist",1.04,1.05,-0.6," 11 000001000 000"
"301","interpreter",1.07,0.49,0.56," 11 100100000 000"
"302","interrogator",0.59,-0.35,0.79," 11 001000000 000"
"303","interviewee",0.6,0.45,0.85," 11 110000000 000"
"304","introvert",0.04,-0.69,-2.17," 11 100000000 000"
"305","invader",-3.01,1.07,-0.53," 11 000100000 001"
"306","jailer",0.21,-0.14,-1.11," 11 001000000 001"
"307","janitor",-1.29,0.26,-1.21," 11 010000000 000"
"308","japanese",-2.4,-1.29,-1.64," 11 000100000 000"
"309","jeweler",0.14,0.31,0.2," 11 010000000 000"
"310","job_seeker",1.14,-0.03,0.88," 11 010000000 000"
"311","journalist",0.83,1.44,2.39," 11 010100000 000"
"312","judge",0.65,1.79,-1.1," 11 001000000 000"
"313","junior_high_school_student",1.32,-0.51,2.04," 11 000010000 000"
"314","junior_high_school_teacher",0.73,0.86,0.25," 11 000010000 000"
"315","junkie",-2.38,-1.43,-1.82," 11 101000000 000"
"316","juror",0.61,0.94,-1.01," 11 001000000 001"
"317","kidnapper",-2.44,1.06,-0.13," 11 001000000 001"
"318","kindergarten_student",1.72,-1.24,2.47," 11 000010000 000"
"319","kindergarten_teacher",1.55,0.44,1.87," 01 000010000 001"
"320","know_it_all",-1.41,-1.09,-0.36," 11 100000000 000"
"321","korean",0.34,-0.44,-0.46," 11 000100100 000"
"322","laborer",0.79,1.61,-0.06," 11 010000000 000"
"323","lady",1.48,0.19,0.98," 01 100000000 000"
"324","laid_off_worker",0.27,-1.53,-1.1," 11 010000000 000"
"325","landlord",-0.13,0.29,-0.65," 10 010000000 000"
"326","law_breaker",-2.05,0.07,-0.64," 11 001000000 000"
"327","lawyer",0.97,1.52,0.53," 11 001000000 000"
"328","leader",-0.36,1.58,-0.66," 11 110100100 000"
"329","lecher",-3.41,0.08,-0.22," 10 000000001 000"
"330","lesbian",-1.58,-1.03,-0.53," 01 000000001 000"
"331","liar",-2.06,-0.87,-0.22," 11 100000000 000"
"332","librarian",0.97,0.33,-0.31," 11 000010000 000"
"333","lieutenant_general",1.23,1.65,0.38," 11 000100000 000"
"334","loafer",-1.92,-1.3,0.02," 11 110000000 000"
"335","loan_shark",-2.4,1.2,-0.1," 11 010000000 000"
"336","local_elected_official",0.6,0.19,0.58," 11 000100000 000"
"337","loser",-0.26,-0.76,-1.54," 11 100000000 000"
"338","lover",1.79,1.3,1.43," 11 000000001 001"
"339","macdonald_cashier",0.64,-0.1,0.41," 11 010000000 000"
"340","macdonald_cook",1.43,0.99,1.25," 11 010000000 000"
"341","macdonald_customer",1.28,0.73,1.51," 11 010000000 000"
"342","macdonald_franchise_owner",1.08,1.83,1.34," 11 010000000 000"
"343","macdonald_manager",1.3,1.38,1.4," 11 010000000 000"
"344","macdonald_server",1.33,0.62,1.98," 11 010000000 000"
"345","mafioso",-2.03,1.87,-0.21," 10 011000000 000"
"346","magician",1.29,1.08,1.95," 11 010000000 000"
"347","maid",0.54,-0.57,-0.2," 01 010000000 000"
"348","maiden",2.16,0.04,2.32," 01 100000000 000"
"349","mail_carrier",1.32,0.4,0.87," 11 010000000 000"
"350","man",1.03,1.87,0.65," 10 100000001 000"
"351","manager",0.79,1.78,0.06," 11 010000000 000"
"352","maniac",-1.46,0.74,0.93," 11 100001000 001"
"353","masochist",-1.33,-1.46,-1.65," 11 000000001 100"
"354","masseuse",0.73,0.39,0.25," 01 010001001 001"
"355","mate",2.25,1.74,1.97," 11 100000001 001"
"356","mayor",1.7,2.39,1.22," 11 000100000 000"
"357","medic",0.56,0.03,0.88," 11 000001000 000"
"358","mental_patient",-0.94,-0.59,-1.03," 11 000001000 001"
