"","term","E","P","A","instcodes"
"332","hooker",-1.39,-0.5,1.85," 01 011000001 001"
"333","hooligan",-1.55,-0.045,1.53," 10 100000000 001"
"334","host",1.355,1.14,0.365," 10 100000000 000"
"335","hostage",-0.2,-1.84,-0.56," 11 001100000 001"
"336","hostess",1.495,0.475,0.335," 01 100000000 000"
"337","hothead",-1.565,0.145,1.91," 11 100000000 000"
"338","hotshot",-1.62,0,1.665," 11 100000000 000"
"339","house_guest",1.15,-0.21,-0.29," 11 000000010 000"
"340","housebreaker",-2.165,0.385,1.415," 11 001000000 000"
"341","housekeeper",0.985,-0.39,-0.745," 11 010000010 000"
"342","housekeeper",1.105,-0.39,-0.595," 11 010000010 000"
"343","housemaid",1.055,-0.715,-0.66," 01 010000010 000"
"344","housewife",1.105,-0.31,0.265," 01 000000010 000"
"345","hunchback",-0.12,-0.915,-1.45," 11 000001000 000"
"346","husband",1.725,1.475,0.775," 10 000000011 001"
"347","hussy",-1.23,-0.275,1.635," 01 000000001 001"
"348","hypochondriac",-1.24,-1.395,-0.615," 11 000001000 000"
"349","hypocrite",-2.19,-1.23,0.205," 11 100000000 000"
"350","idiot",-0.86,-1.625,-0.175," 11 100000000 000"
"351","ignoramus",-1.45,-1.235,-0.015," 11 100010000 000"
"352","imbecile",-1.065,-1.625,-0.345," 11 100000000 000"
"353","imp",-0.52,-1.28,1.65," 11 100000000 000"
"354","in_law",0.975,0.365,-0.425," 11 000000010 000"
"355","infant",1.72,-2.585,2.215," 11 000001010 001"
"356","informant",-0.555,0.25,0.485," 11 001100000 000"
"357","informer",-1.27,-0.17,0.265," 11 001000000 000"
"358","inmate",-1.22,-0.97,-0.005," 11 001000000 001"
"359","innocent",1.355,-0.69,0.155," 11 100000000 000"
"360","insider",0.47,0.865,0.395," 11 010100000 000"
"361","inspector",0.51,1.515,-0.055," 11 001000000 001"
"362","instructor",0.835,1.385,0.005," 11 000010000 000"
"363","insurance_agent",-0.09,0.33,0.545," 11 010000000 000"
"364","intern",1.29,0.145,1.035," 11 000001000 001"
"365","intimate",1.83,1.105,-0.125," 11 000000001 001"
"366","introvert",-0.305,-1.29,-1.435," 11 100000000 000"
"367","invalid",-0.25,-1.865,-1.335," 11 000001000 001"
"368","jackass",-1.72,-0.93,1.085," 11 100000000 000"
"369","janitor",0.745,-0.965,-1.25," 11 010000000 000"
"370","jerk",-1.945,-1.135,1.365," 11 100000000 000"
"371","jeweler",0.7,0.365,-0.355," 11 010000000 000"
"372","jock",0.35,1.665,2.205," 11 000010000 000"
"373","judge",0.945,2.58,-1.435," 11 001000000 000"
"374","junkie",-2.18,-1.685,1.225," 11 101000000 000"
"375","juror",0.805,1.6,-0.54," 11 001000000 001"
"376","juvenile",-0.225,-0.64,1.99," 11 001000010 000"
"377","kid",0.675,-0.595,2.27," 11 100000000 000"
"378","killjoy",-1.43,0.27,-0.14," 11 100000000 000"
"379","klutz",-0.48,-1.325,0.28," 11 100000000 000"
"380","kook",-0.1,-0.67,0.915," 11 100000000 000"
"381","lad",0.99,-0.345,1.94," 10 100000000 000"
"382","lady",1.715,0.31,-0.145," 01 100000000 000"
"383","lady_killer",-1.045,1.125,1.57," 10 000000001 000"
"384","landlady",0.335,0.705,-0.715," 01 010000000 000"
"385","landlord",0.13,0.965,-0.83," 10 010000000 000"
"386","lass",1.435,-0.615,1.4," 01 100000000 000"
"387","law_breaker",-1.89,0.04,0.585," 11 001000000 000"
"388","lawyer",1.065,1.68,0.21," 11 001000000 000"
"389","lecher",-2.085,-0.605,-0.185," 10 000000001 000"
"390","lesbian",-1.475,-0.35,0.8," 01 000000001 000"
"391","liar",-2.46,-0.76,0.86," 11 100000000 000"
"392","librarian",0.645,0.025,-1.21," 11 000010000 000"
"393","library_assistant",1.05,-0.31,-1.155," 11 000010000 000"
"394","lifer",-0.765,-0.815,-0.2," 11 001000000 000"
"395","linebacker",0.37,2.03,2.085," 10 010010000 001"
"396","lineman",0.475,2.12,1.78," 10 010010000 001"
"397","loafer",-1.415,-1.575,-1.075," 11 110000000 000"
"398","loan_shark",-1.985,1.37,1.005," 11 010000000 000"
"399","lodger",0.58,-0.13,-0.085," 11 010000000 000"
"400","loner",0.325,-0.23,-1.285," 11 100000000 000"
"401","longshoreman",0.265,1.02,0.515," 11 010000000 000"
"402","look_out",0.4,0.645,0.665," 11 101000000 000"
"403","louse",-1.705,-0.71,0.065," 11 100000000 000"
"404","lout",-1.605,-0.65,0.145," 11 100000000 000"
"405","lover",2.275,1.77,0.74," 11 000000001 001"
"406","lunatic",-1.525,-0.625,1.045," 11 100001000 000"
"407","lush",-0.945,-1.155,0.5," 11 100000000 000"
"408","madman",-1.925,0.615,0.64," 10 100001000 000"
"409","mafioso",-1.675,1.945,0.26," 10 011000000 000"
"410","magician",1.03,0.865,1.02," 11 010000100 000"
"411","maid",0.63,-1.035,-0.33," 01 010000000 000"
"412","maiden",1.48,-0.925,0.7," 01 100000000 000"
"413","mail_carrier",1.175,0.04,-0.34," 11 010000000 000"
"414","mailman",1.495,0.04,-0.575," 10 010000000 000"
"415","man",1.235,1.04,0.595," 10 100000001 000"
"416","manager",0.735,1.285,0.07," 11 010000000 000"
"417","maniac",-1.78,0.085,1.57," 11 100001000 001"
"418","mastermind",0.785,1.81,0.175," 11 001100000 000"
"419","mate",2.41,1.18,0.97," 11 100000001 001"
"420","maverick",0.305,1.075,1.78," 11 100000000 000"
"421","medic",1.65,1.36,0.525," 11 000001000 000"
"422","midget",0.305,-1.11,0.345," 11 100000000 000"
"423","miner",0.095,0.29,0.235," 10 010000000 000"
"424","minister",1.69,1.59,-0.38," 11 000000100 000"
"425","minor",0.21,-0.825,1.86," 11 001000000 000"
"426","miser",-1.68,-0.11,-1.245," 11 100000000 000"
"427","miss",0.9,-0.195,0.96," 01 100000001 000"
"428","mistress",-0.635,-0.54,1.005," 01 000000001 001"
"429","mobster",-2.285,1.875,1.195," 10 011000000 000"
"430","moron",-1.355,-1.745,-0.08," 11 100000000 000"
"431","mother",2.425,1.7,-0.045," 01 000000010 001"
"432","mother_(my)",2.48,1.335,0.23," 01 000000010 000"
"433","mourner",-0.37,-1.22,-1.375," 11 000000100 100"
"434","mouthpiece",-0.26,-0.23,0.4," 11 001000000 000"
"435","mugger",-2.49,0.67,1.645," 10 001000000 001"
"436","musician",1.245,0.415,0.365," 11 010010000 000"
"437","myself_as_i_really_am",1.78,0.755,1.335," 11 100000000 110"
"438","i_myself_as_others_see_me",1.505,0.855,1.42," 11 100000000 101"
"439","nark",-0.725,1.035,0.73," 11 001000000 000"
"440","neighbor",1.655,0.51,0.1," 11 100000000 000"
"441","nephew",0.725,-0.31,1.375," 10 000000010 000"
"442","neurotic",-1.26,-1.24,0.29," 11 000001000 000"
"443","newcomer",0.925,-0.82,0.265," 11 100000000 000"
"444","newsboy",0.615,-1.13,1.575," 10 010000000 000"
"445","niece",1.51,-0.535,1.34," 01 000000010 000"
"446","night_watchman",0.58,0.275,-1.01," 10 011000000 000"
"447","ninny",-0.755,-0.86,-0.095," 11 100000000 000"
"448","nitwit",-0.895,-1.64,0.28," 11 100000000 000"
"449","nobody",-0.335,-1.705,-1.125," 11 100000000 000"
"450","nonconformist",0.49,0.75,1.36," 11 100000000 000"
"451","novice",0.385,-0.72,1.16," 11 010100100 000"
"452","numbskull",-0.845,-1.725,-0.135," 11 100000000 000"
"453","nurse",2.13,1.09,-0.02," 11 000001000 001"
"454","nursemaid",1.195,0.395,-1.025," 01 000000010 001"
