"","term","E","P","A","instcodes"
"154","hayride",1.91,0.31,0.84," 01 100000000 000"
"155","health_food_store",1.16,0.24,0.74," 10 010000000 000"
"156","heaven",3.64,2.66,-0.13," 01 000000100 000"
"157","hell",-2.64,2.39,0.47," 01 000000100 001"
"158","hideout",0.3,0.36,0.51," 10 100000000 100"
"159","high_school",1.5,1.26,1.87," 10 000010000 000"
"160","highway",0.48,1.22,1.9," 10 100000000 100"
"161","holiday",2.99,1.3,1.41," 01 100000010 000"
"162","home",3.28,2.13,-0.26," 10 000000010 101"
"163","hospital",1.57,1.91,-0.61," 10 000001000 001"
"164","hostel",0.49,-0.09,0.53," 10 010000000 000"
"165","hotel",0.74,0.63,0.47," 10 010000000 000"
"166","house",2.31,1.12,0.07," 10 100000010 000"
"167","infirmary",0.68,1.01,0.31," 10 000011000 001"
"168","interrogation",-0.62,1.43,0.68," 01 001000000 000"
"169","interview",0.61,0.55,0.27," 01 011011100 000"
"170","jail",-1.32,1.3,-0.15," 10 001000000 000"
"171","journey",2.02,1.27,1.67," 01 100000000 100"
"172","judge's_chamber",0.79,1.89,-1.22," 10 001000000 000"
"173","junior_college",0.87,-0.11,0.91," 10 000010000 000"
"174","junkyard",-0.83,-0.42,-0.25," 10 010000000 100"
"175","juvenile_court",-0.53,1.36,0.06," 10 001000000 000"
"176","kindergarten",1.91,0.43,1.99," 10 000010000 000"
"177","kitchen",2.27,0.97,0.09," 10 000000010 100"
"178","laboratory",0.96,1.29,0.08," 10 010011000 100"
"179","lane",1,-0.2,-0.48," 10 100000000 100"
"180","laundromat",-0.04,-0.43,0.41," 10 010000000 100"
"181","lawyers_office",0.56,1.47,-0.31," 10 001000000 000"
"182","lecture",0.48,0.94,-0.18," 01 000010000 000"
"183","legislature",0.85,2.26,0.09," 10 000100000 000"
"184","lesson",1.09,1.22,-0.29," 01 100010000 000"
"185","library",2.09,1.54,-1.64," 10 100010000 100"
"186","living_room",1.6,0.24,-0.13," 10 000000010 100"
"187","locker_room",0.02,0.54,1.17," 10 100010000 000"
"188","lovers_lane",1.11,0.59,0.93," 10 000000001 001"
"189","lumberyard",0.76,0.9,0.62," 10 010000000 000"
"190","luncheon",0.65,0.1,-0.07," 01 110110000 000"
"191","luncheonette",0.65,-0.39,0.65," 10 010000000 000"
"192","machine_shop",0.46,0.69,0.68," 10 010000000 100"
"193","mall",0.91,1.09,1.42," 10 110000010 000"
"194","mansion",0.91,1.93,-0.78," 10 000000010 000"
"195","market",0.88,0.75,0.84," 11 010000000 000"
"196","marriage_counselor's_office",1.02,0.83,0.22," 11 000000101 100"
"197","mass",1.35,1.24,-0.94," 01 000000100 000"
"198","massage_parlor",-0.53,0.36,1.03," 10 010000001 001"
"199","maternity_ward",2.32,0.77,0.92," 10 000001010 000"
"200","maternity_ward",1.9,0.63,0.53," 10 000001010 000"
"201","mealtime",2.23,0.6,0.18," 01 100000010 100"
"202","memorial_service",0.35,0.62,-1.32," 01 100000100 000"
"203","military_school",0.13,1.8,0.3," 10 000010000 000"
"204","mob",-1.23,1.86,2.01," 01 100000000 001"
"205","mobile_home",-0.54,-0.48,-0.05," 10 000000010 100"
"206","monastery",1.23,1.21,-1.6," 10 000000100 100"
"207","morgue",-1.01,-0.05,-1.85," 10 001001000 000"
"208","mortuary",-0.95,0.54,-1.66," 10 010000100 000"
"209","motel",1.09,0.06,0.08," 10 010000010 100"
"210","movie",1.26,0.59,0.76," 11 010000000 100"
"211","museum",1.79,0.41,-1.21," 10 100010000 100"
"212","music_lesson",1.34,0.34,0.18," 01 010010000 000"
"213","new_year's_eve",1.91,1.18,2.35," 01 100000000 000"
"214","news_stand",0.9,0.76,0.96," 10 010000000 000"
"215","nightclub",0.85,0.56,1.9," 10 010000001 000"
"216","nursery_school",1.69,-0.01,2.4," 10 000010000 001"
"217","nursing_home",0.42,0.22,-2.03," 10 010001000 101"
"218","office",0.92,1.13,0.28," 10 011011100 100"
"219","opera",0.86,0.52,-0.19," 11 010010000 000"
"220","orgy",-1.7,-0.01,1.57," 01 000000001 001"
"221","outdoors",3.11,2.45,0.03," 10 100000000 100"
"222","packing_plant",0.07,0.19,0.83," 10 010000000 000"
"223","paddywagon",-0.25,0.85,0.01," 10 001000000 001"
"224","palace",1.5,2.07,-0.72," 10 000100010 000"
"225","pantry",1.12,-0.13,-0.37," 10 000000010 100"
"226","parade",1.69,1.03,1.77," 11 100100000 000"
"227","park",2.42,0.01,-0.23," 10 100000000 100"
"228","parking_lot",0.26,0.24,0.45," 10 100000000 100"
"229","parlor",0.97,-0.13,-1.14," 10 000000010 100"
"230","party",2.7,0.93,2.41," 01 100000001 000"
"231","patio",1.64,0.02,-0.11," 10 000000010 100"
"232","pawnshop",-0.18,0.11,-0.35," 10 010000000 000"
"233","penitentiary",-1.16,1.94,-0.67," 10 001000000 100"
"234","penthouse",1.07,1.59,0.92," 10 000000010 100"
"235","pep_rally",1.97,1.61,2.4," 01 100010000 000"
"236","pet_store",1.47,0.27,1.1," 10 010000000 000"
"237","pilgrimage",1.35,0.58,-0.62," 01 000000100 000"
"238","planetarium",1.43,0.6,-0.16," 10 000010000 000"
"239","playground",2.21,0.23,2.6," 10 100000000 001"
"240","police_station",0.67,2.1,0.59," 10 001000000 000"
"241","pool_hall",-0.34,-0.14,1.55," 10 010000000 000"
"242","poorhouse",-1.28,-1.12,-1.57," 10 100000000 100"
"243","porch",1.95,0,-1.14," 10 000000010 100"
"244","post_office",1.59,0.92,-0.39," 10 100000000 000"
"245","prayer",2.35,1.71,-0.89," 01 000000100 100"
"246","prayer_meeting",1.46,1.33,-0.86," 01 000000100 000"
"247","press_conference",0.2,1.31,0.86," 01 011100000 000"
"248","prison",-1.05,2.09,-0.2," 10 001000000 100"
"249","psychiatrist's_office",0.56,1.03,-0.47," 10 000001000 000"
"250","quiz",-0.54,1.57,0.25," 01 000010000 000"
"251","rebellion",-0.46,1.55,2.06," 01 000100000 000"
"252","reception",1.45,0.14,0.61," 01 010010100 000"
"253","red_light_district",-1.22,0.63,1.76," 10 010000001 100"
"254","refinery",0.33,0.64,0.48," 10 010000000 000"
"255","reformatory",-0.36,1.18,0.51," 10 001000000 000"
"256","refreshment_stand",1.61,0.09,0.64," 10 010000000 000"
"257","religious_fellowship_service",2.15,1.52,0.01," 01 000000100 000"
"258","repair_shop",0.71,0.34,0.23," 10 010000000 100"
"259","resort",2.12,1.13,0.74," 10 010000000 000"
"260","restaurant",1.76,0.89,0.84," 10 010000000 000"
"261","restroom",0.74,-0.21,0.12," 10 100000000 101"
"262","revolution",-0.24,2.49,2.07," 01 000100000 000"
"263","riot",-1.33,2.3,2.16," 01 101100000 001"
"264","room",0.66,0.34,-0.24," 10 100000000 100"
"265","rummage_sale",0.86,0.01,0.62," 01 010000000 000"
"266","sabbath",2.58,1.55,-0.26," 01 000000100 000"
"267","saloon",0.14,1.15,1.88," 10 010000000 000"
"268","sanctuary",2.08,1.4,-0.99," 10 100000100 100"
"269","sauna",1.73,0.41,-0.91," 10 010000000 100"
"270","savings_bank",1.64,1.87,-0.69," 10 010000000 000"
"271","school_principal's_office",0.02,0.98,-0.18," 10 000010000 000"
"272","seminar",0.97,0.76,0.42," 01 000010000 000"
"273","sermon",1,1.2,-0.16," 01 000000100 000"
"274","sex_shop",-0.91,0.04,1.2," 10 010000001 100"
"275","shanty",-0.69,-0.96,-0.58," 10 100000000 100"
"276","ship",0.84,1.45,0.7," 10 010000000 000"
"277","shipyard",0.32,1.11,0.26," 10 010000000 000"
"278","shop",0.86,0.5,0.49," 10 010000000 000"
"279","shopping_center",0.65,0.82,1.32," 10 010000000 100"
"280","shrine",0.71,1.17,-0.65," 10 000000100 000"
"281","sidewalk",0.85,0.09,0.15," 10 100000000 100"
"282","siesta",1.71,0.19,-1.17," 01 100000000 100"
"283","sightseeing_trip",1.19,0.39,0.74," 01 100000000 000"
"284","sit_in",0.08,0.58,1.09," 01 000100000 000"
"285","ski_lodge",1.8,0.2,1.18," 10 010000000 000"
"286","skid_row",-1.57,-0.32,-0.52," 10 100000000 100"
"287","slaughterhouse",-1.14,0.95,0.8," 10 010000000 000"
"288","slum",-1.7,-0.67,0.43," 10 100000000 100"
"289","soda_fountain",1.31,0.1,1.09," 10 010000000 000"
"290","sorority_house",0.68,0.93,1.79," 10 000010000 000"
"291","soup_kitchen",1,-0.09,-0.25," 10 100000000 000"
"292","spa",0.98,0.36,0.36," 10 010000000 000"
"293","speedway",-0.01,1.41,2.06," 10 010000000 000"
"294","squad_car",0.5,1.59,1.11," 10 001000000 001"
"295","stable",0.97,0.13,-0.03," 10 010000000 100"
"296","stage",0.99,1.01,0.73," 10 000010000 000"
"297","station_wagon",0.77,1.48,0.19," 10 100000000 100"
"298","steelyard",-0.12,0.85,0.31," 10 010000000 000"
"299","stereo_store",1.5,0.54,1.36," 10 010000000 000"
"300","stockroom",0.39,0.49,0.24," 10 010000000 100"
"301","stockyard",0.05,0.25,0.51," 10 010000000 000"
"302","store",1.09,0.54,0.98," 10 010000000 000"
"303","street",0.61,0.39,0.4," 10 100000000 100"
"304","street_fair",2,0.15,1.56," 11 110000000 000"
"305","studio",0.33,0.57,0.54," 10 010010000 100"
"306","study",0.78,0.62,-1.35," 10 000000010 100"
"307","suburb",1.3,0.41,0.28," 10 100000000 100"
"308","subway",-0.12,1.23,2.29," 10 100000000 100"
"309","sunday_school",1.85,0.9,-0.18," 11 100000100 000"
"310","supermarket",1.41,0.91,1.04," 10 010000000 000"
"311","sweatshop",-0.2,0.26,0.46," 10 010000000 000"
"312","swimming_hole",1.94,0.41,1.08," 10 100000000 000"
"313","tavern",1.11,0.69,1.91," 10 010000000 000"
"314","taxi",0.37,0.34,0.48," 10 010000000 000"
"315","television_studio",1.23,1.65,1.28," 10 010100000 000"
"316","tenement",-1,-0.44,0.09," 10 000000010 100"
"317","tennis_court",2.16,0.38,1.79," 10 100000000 000"
"318","test",-1,1.6,0.09," 01 000011000 000"
"319","textile_mill",0.08,0.89,-0.03," 10 010000000 000"
"320","thanksgiving_day",2.58,0.34,-0.88," 01 100000010 000"
"321","theater",1.69,0.71,0.57," 10 010010000 000"
"322","topless_bar",-1.06,0.49,2.26," 10 010000001 000"
"323","town_hall",0.5,1.41,-0.34," 10 001100000 000"
"324","town_meeting",0.52,0.83,0.2," 01 000100000 010"
"325","trade_school",1.1,0.63,0.63," 10 010010000 000"
"326","trail",1.47,0.28,-0.68," 10 100000000 100"
"327","train",1.08,2.07,1.44," 10 110000000 100"
"328","turkey_shoot",0.06,0.25,0.55," 01 100000000 000"
"329","university",1.72,2.24,1.4," 10 000010000 000"
