"","term","E","P","A"
"428","overwhelmed",-2.25,-1.28,0.63
"429","panicked",-2.73,-1.76,1.67
"430","paranoid",-2.33,-1.86,0.36
"431","passionate",2.76,2.16,1.56
"432","passive",-0.56,-1.63,-2.34
"433","patient",2.96,1.25,-2.13
"434","peaceful",3.19,1.58,-1.96
"435","peeved",-1.84,-0.91,0.14
"436","pensive",0.52,-0.34,-1.72
"437","perceptive",2.8,1.86,-0.5
"438","permissive",-0.05,-0.56,-0.84
"439","persecuted",-3.14,-1.4,1.07
"440","persistent",1.98,1.66,2.03
"441","persuasive",1.65,1.98,1.35
"442","pessimistic",-2.12,-1.31,-1.07
"443","petrified",-2.8,-2.33,-1.25
"444","petty",-2.07,-1.47,-0.07
"445","phobic",-2.19,-1.93,-0.18
"446","pitiful",-2.19,-2.27,-1.69
"447","placid",0.33,-0.65,-2.33
"448","plain",-0.2,-0.96,-1.45
"449","playful",2.35,1.08,2.1
"450","pleased",3.11,1.82,-0.37
"451","poised",2.31,1.52,-0.79
"452","polite",3.11,1.63,-0.58
"453","pompous",-2.25,-0.05,1.76
"454","poor",-2.32,-2.72,-1.24
"455","popular",1.58,1.94,1.88
"456","possessive",-1.73,0.04,0.78
"457","powerful",1.98,3.49,1.79
"458","powerless",-2.86,-3.4,-2.07
"459","practical",2.5,1.41,-0.2
"460","prejudiced",-3.03,-0.74,0.58
"461","preoccupied",-0.8,-0.58,-0.36
"462","presumptuous",-1.42,-0.2,0.72
"463","pretty",2.27,1.5,0.19
"464","principled",2.64,1.75,0.12
"465","promiscuous",-1.44,-0.16,1.39
"466","proud",2.41,2.08,0.73
"467","provocative",0.23,1.01,1.57
"468","psychotic",-3.03,-0.51,2.06
"469","quarrelsome",-2.23,-0.15,2.07
"470","quiet",1,-0.53,-3.13
"471","rational",2.87,1.85,-0.28
"472","raunchy",-1.4,-0.01,1.56
"473","reasonable",3.07,1.89,-0.15
"474","rebellious",-0.3,1.01,2.13
"475","reckless",-2.32,0.01,2.31
"476","reclusive",-0.91,-1.47,-2.31
"477","refined",2.11,1.34,-0.84
"478","regretful",-1.38,-1.44,-1.63
"479","rejected",-2.64,-1.28,-0.15
"480","relaxed",2.92,0.65,-2.71
"481","relentless",0.3,1.54,1.95
"482","reliable",3.31,2.32,0.84
"483","relieved",2.74,1.45,-0.77
"484","religious",0.45,0.35,-0.04
"485","remorseful",0.39,-0.31,-1.55
"486","repentant",1.16,-0.01,-0.82
"487","resentful",-2.33,-1.2,-0.92
"488","reserved",1,-0.11,-2.16
"489","resigned",-0.7,-1.32,-1.49
"490","resourceful",3.12,2.33,1.19
"491","respectful",3.12,2.05,-0.81
"492","responsible",3.11,2.24,0.73
"493","restless",-1.19,-0.66,1.01
"494","revengeful",-2.38,0.35,1.22
"495","reverent",1.45,0.58,-0.8
"496","rich",1.91,2.57,1.25
"497","rigid",-1.29,-0.4,-0.65
"498","romantic",2.72,1.82,0.36
"499","rude",-2.93,-0.51,1.74
"500","rueful",-0.76,-0.44,-0.61
"501","ruthless",-2.05,1.51,1.56
"502","sad",-2.19,-1.76,-2.11
"503","sadistic",-3.08,0.41,0.91
"504","saintly",2.79,1.71,-0.55
"505","sarcastic",-0.5,0.24,1.16
"506","satisfied",3.05,1.97,-0.53
"507","scared",-2.04,-1.93,-0.1
"508","scornful",-2.27,-0.54,0.7
"509","secretive",-0.5,0.46,-1.79
"510","secure",3.04,2.34,-0.32
"511","self_assured",2.83,2.14,0.35
"512","self_centered",-2.5,-0.4,0.66
"513","self_confident",2.94,2.63,0.75
"514","self_conscious",-1.47,-1.67,-1.32
"515","self_disciplined",3.02,2.31,-0.49
"516","self_pitying",-2.33,-2.17,-1.77
"517","self_righteous",-1.23,0.31,1.07
"518","self_sacrificing",2.24,1.91,-0.15
"519","self_satisfied",2.49,2.05,-0.04
"520","selfish",-2.46,-0.58,0.35
"521","sensitive",1.43,-0.17,-1.34
"522","sensuous",1.86,1.44,0.08
"523","sentimental",1.78,0.44,-1.39
"524","serene",3.02,1.53,-2.29
"525","serious",1.45,1.13,-0.81
"526","sexy",1.97,2.05,0.91
"527","shaken",-2.32,-1.72,0.31
"528","shallow",-2.34,-1.45,-0.2
"529","shocked",-0.76,-0.34,0.82
"530","shook_up",-1.89,-1.34,0.76
"531","showy",-1.07,0.35,2.13
"532","shrewd",-0.04,0.52,0.22
"533","shy",-0.45,-1.87,-2.42
"534","sickened",-2.62,-1.47,-0.73
"535","silly",1.57,0.27,1.63
"536","simpleminded",-1.25,-1.97,-1.58
"537","sincere",3.15,1.87,-0.5
"538","single",0.2,0.12,-0.13
"539","skeptical",1,0.5,-0.37
"540","slack",-1.59,-1.7,-2.17
"541","sloppy",-2.18,-1.2,-0.3
"542","slothful",-2.12,-2.11,-3.2
"543","sluggish",-2.07,-2.27,-3.14
"544","sly",-0.7,0.48,-0.94
"545","smug",-1.6,-0.06,-0.26
"546","sniveling",-2.49,-1.98,-0.03
"547","snobbish",-2.65,-0.6,0.9
"548","snooty",-2.62,-0.52,0.87
"549","snowed",-1.35,-0.75,-0.52
"550","sociable",2.34,1.75,1.93
"551","soft_spoken",0.61,-0.83,-1.99
"552","softhearted",1.95,0.49,-0.9
