"","term","E","P","A"
"117","entrepreneur",1.52,1.27,-0.57
"118","evangelist",1.55,1.08,-0.55
"119","ex_boyfriend",-0.13,-0.33,0.3
"120","ex_husband",-0.31,-0.03,0.17
"121","ex_wife",-0.62,-0.09,0.41
"122","executioner",-1.77,0.54,1
"123","executive",1.59,1.56,0.24
"124","extrovert",2.47,1.81,-1
"125","failure",-1.72,-2.02,-0.26
"126","family_man",2.7,2.09,-0.9
"127","fanatic",-2.2,-0.77,2.07
"128","father",2.26,1.84,-1
"129","father_in_law",1.12,1.19,-0.79
"130","female",2.23,0.39,-0.7
"131","fiance_(male)",2.21,1.45,-0.85
"132","fiancee_(female)",2,1.5,-0.65
"133","firstborn",2.03,1.06,0.52
"134","follower",-0.76,-1.01,-0.63
"135","foreman",1.48,1.87,0.28
"136","friend",2.18,1.68,-0.77
"137","genius",2.23,1.89,-0.97
"138","gentleman",2.29,1.91,-0.81
"139","girl",2.22,0.52,-0.93
"140","gossip",-1.93,-1.48,1.07
"141","graduate",2.44,1.35,-0.52
"142","graduate_student",2.68,2.02,-0.52
"143","grandchild",2.07,0.29,-0.76
"144","granddaughter",1.88,-0.1,-0.27
"145","grandfather",1.93,1.03,-0.79
"146","grandmother",1.75,0.98,-0.97
"147","grandson",1.96,0.35,0.16
"148","great_grandfather",1.78,0.13,-0.7
"149","great_grandmother",1.18,0.32,-0.84
"150","grind",2.8,2.08,-0.76
"151","grouch",-1.49,-2.16,0.1
"152","guest",1.08,0.44,-0.49
"153","guy",1.37,0.65,-0.15
"154","gynecologist",1.61,1.16,-1.04
"155","half_brother",1.01,0.58,-0.22
"156","half_sister",1.73,1.02,-0.16
"157","handicapped_person",1.33,-0.59,-1.03
"158","handyman",1.89,1.73,0.01
"159","has_been",-1.77,-1.89,0.52
"160","hatemonger",-2.64,-2.08,1.91
"161","headnurse",1.39,1.24,-0.19
"162","hermaphrodite",-2.15,-2.18,-0.2
"163","hero",2.85,2.49,0.03
"164","heroine",2.37,2.09,0.27
"165","homemaker",1.67,1.12,-0.89
"166","homosexual",-1.82,-1.39,0.73
"167","honeymooner",2.37,1.47,-0.72
"168","hoodlum",-2.71,-0.14,1.33
"169","host",1.75,1.02,-0.83
"170","hothead",-0.96,-0.61,1.77
"171","hotshot",0.88,0.93,0.43
"172","house_guest",1.48,0.59,-0.25
"173","house_husband",3.09,2.42,-1.04
"174","housewife",1.88,1.55,-0.46
"175","hunk",2.26,1.6,-1.02
"176","hussy",-2.12,-1.09,1.33
"177","idiot",-1.52,-1.53,0.07
"178","ignoramus",-1.23,-1.27,0.39
"179","illegitimate_child",-0.56,-0.62,0.49
"180","infant",2.57,-1.58,-0.26
"181","informer",0.02,0.75,0.21
