"","term","E","P","A","instcodes"
"173","disable",-1.835,1.38,0.07," 10 001001000 001"
"174","disagree_with",-0.06,0.965,0.515," 10 111111111 000"
"175","disappoint",-1.88,0.205,-0.005," 01 111111111 100"
"176","disbelieve",-0.94,0.275,-0.385," 01 111111111 000"
"177","discipline",0.11,1.455,0.225," 10 011111111 100"
"178","disconcert",-0.995,0.495,-0.2," 01 111111111 000"
"179","discourage",-1.525,0.6,-0.345," 10 111111111 100"
"180","discredit",-1.205,1.015,0.14," 10 111111111 010"
"181","discriminate_against",-2.665,0.98,-0.695," 01 011111111 010"
"182","disenchant",-1.09,0.46,-0.335," 01 111111111 100"
"183","disgrace",-1.92,0.68,-0.065," 01 111111111 010"
"184","disillusion",-1.48,0.88,0.03," 01 111111111 000"
"185","dislike",-1.235,0.375,-0.085," 01 111111111 100"
"186","disobey",-1.15,0.64,0.78," 10 011111111 000"
"187","displease",-1.395,-0.12,-0.38," 01 111111111 100"
"188","disregard",-1.11,0.57,-0.115," 01 111111111 010"
"189","disrespect",-2.06,0.08,-0.14," 01 111111111 100"
"190","dissuade",-0.49,0.995,0.055," 01 111111111 000"
"191","distress",-1.585,0.52,0.23," 01 111111111 100"
"192","distrust",-1.675,-0.425,-0.5," 01 111111111 100"
"193","disturb",-1.105,0.3,0.14," 01 111111111 010"
"194","divert",-0.125,0.74,0.325," 10 111111111 110"
"195","divorce",-1.205,0.74,-0.205," 10 000000001 010"
"196","dog",-1.305,0.18,0.375," 10 111111111 000"
"197","dominate",-1.49,2.09,0.72," 01 111111111 000"
"198","dope",-1.725,0.675,0.365," 01 001001000 100"
"199","double_cross",-1.935,1,0.525," 01 111111111 010"
"200","doubt",-1.015,0.195,-0.295," 01 111111111 100"
"201","dress",0.7,0.42,-0.23," 10 000001010 101"
"202","drug",-2.31,1.08,0.18," 10 001001000 000"
"203","dupe",-1.13,0.5,0.155," 01 111111111 000"
"204","educate",2.385,2.125,0.07," 10 011111111 100"
"205","elude",-0.47,0.555,0.55," 01 111111111 010"
"206","embarrass",-1.6,0.85,0.38," 01 111111111 010"
"207","embrace",2.085,1.21,0.605," 10 100000011 001"
"208","emulate",0.395,-0.03,0.185," 01 111111111 010"
"209","encourage",2.585,1.765,1.085," 10 111111111 100"
"210","endanger",-2.475,0.84,0.535," 01 101001000 100"
"211","endure",0.44,0.41,0.035," 01 111111111 000"
"212","engage",1.34,0.945,1.015," 10 111111111 010"
"213","enjoy",2.135,0.92,0.755," 01 111111111 100"
"214","enrage",-1.81,1.065,0.675," 01 111111111 100"
"215","enrapture",0.425,0.86,0.465," 01 111111111 000"
"216","enslave",-2.61,1.54,0.04," 10 000100000 001"
"217","ensnare",-1.295,1.07,0.25," 01 010100000 000"
"218","entertain",1.785,1.175,1.235," 01 110110011 100"
"219","enthrall",1.2,1.37,1.13," 01 100110111 100"
"220","entice",0.795,1.075,1.015," 01 111111011 100"
