"","term","E","P","A"
"458","helper",2.79,1.14,0.87
"459","henchman",-1.95,0.66,0.77
"460","hermit",-0.08,-1.5,-2.48
"461","hero",3.2,2.97,2.33
"462","heterosexual",1.07,0.63,0.27
"463","hick",-0.53,-0.94,-0.25
"464","hillbilly",-0.45,-0.95,0.14
"465","hippie",0.71,-0.76,-0.75
"466","hipster",-0.16,-0.68,0.56
"467","homeless_person",-0.5,-2.56,-1.3
"468","homosexual",0.66,0.07,0.51
"469","hooker",-1.3,-1.16,1.82
"470","host",1.72,1.49,1.55
"471","hostage",-0.74,-3.04,-1.92
"472","hostess",1.67,0.28,1.41
"473","hothead",-2.29,-0.13,2.59
"474","hotshot",-0.69,1.01,2.28
"475","housebreaker",-2.65,0.58,1.09
"476","house_guest",1.29,-0.3,0.12
"477","housekeeper",1.99,-0.59,1.2
"478","housewife",1.98,0.25,0.89
"479","humanist",1.91,0.68,0.42
"480","hunk",0.94,1.55,0.58
"481","husband",1.77,1.16,0.68
"482","hypochondriac",-1.52,-1.6,0.95
"483","hypocrite",-2.87,-1.23,1.02
"484","idiot",-1.92,-1.78,0.21
"485","illegitimate_child",-0.42,-1.1,0.29
"486","imbecile",-2.14,-2.12,-0.7
"487","immigrant",0.67,-1,0.23
"488","immigration_officer",0.98,1.89,1.06
"489","in_law",0.74,0.86,0.73
"490","infant",2.51,-2.75,1.11
"491","informant",0.24,0.89,0.23
"492","informer",0.1,1.02,0.17
"493","inmate",-2.14,-1.65,-0.13
"494","innocent",2.4,-1.02,-0.85
"495","insider",0.47,1.56,0.01
"496","inspector",1.41,1.76,0.56
"497","instructor",2.16,1.75,1.04
"498","insurance_agent",0.46,0.73,0.82
"499","insurance_claims_investigator",0.72,1.44,0.21
"500","intellectual",2.57,2,-0.05
"501","intern",1.41,-1.38,0.89
"502","internet_troll",-2.55,-1.42,1.04
"503","interpreter",1.97,1.42,1.49
"504","interrogator",-0.28,2.24,1.6
"505","interviewer",1.03,1.63,1.11
"506","intimate",1.81,0.84,-0.44
"507","introvert",0.51,-0.93,-2.4
"508","invalid",-0.8,-2.07,-2
"509","investigator",1.23,1.61,0.3
"510","jackass",-2.29,-0.96,1.89
"511","janitor",1.53,-1.06,0.69
"512","jerk",-2.94,-0.63,1.85
"513","jeweler",1.25,0.38,-0.28
"514","job_seeker",1.67,-0.77,1.34
"515","jobless_person",-0.62,-2.05,-1.17
"516","jock",0.42,1.36,2.49
"517","journalist",1.12,1.36,1.4
"518","judge",1.31,2.65,0.15
"519","junkie",-2.62,-2.48,-0.33
"520","juror",1.41,1.84,-0.53
"521","jury_foreman",1.26,1.65,0.23
"522","juvenile",0.39,-1.33,1.91
"523","kid",1.73,-1.23,2.54
"524","kidnapper",-3.67,1.52,1.28
"525","killjoy",-2.46,-0.17,0.35
"526","klutz",-1.05,-1.34,0.82
"527","know_it_all",-1.4,-0.25,1.74
"528","kook",-1.04,-0.67,1.31
"529","labor_union_leader",1.1,2.19,1.97
"530","laborer",1.65,-0.11,1.7
"531","lackey",-1.2,-1.85,-0.33
"532","lady",2.05,0.57,-0.25
"533","laid_off_worker",-1.35,-2.26,-1.41
"534","landlady",0.75,1.5,0.41
"535","landlord",0.59,2.09,0.27
"536","landscape_architect",1.68,0.98,0.39
"537","landscaper",1.46,0.19,1.38
"538","law_student",1.21,0.72,0.98
"539","lawyer",0.5,2.33,1.89
"540","leader",2.07,2.87,1.98
"541","lecturer",1.28,1.34,0.69
"542","legislator",0.23,1.78,0.84
"543","lesbian",0.52,-0.17,0.4
"544","liar",-3.05,-0.82,0.9
"545","liberal",0.67,0.46,0.97
"546","libertarian",0.77,0.17,0.7
"547","librarian",2.1,0.31,-1.59
"548","library_assistant",1.83,-0.3,-1.62
"549","little_brother",2.03,-0.9,2.11
"550","little_sister",2.08,-0.42,1.48
"551","loafer",-1.6,-2.11,-2.38
"552","loan_shark",-2.45,1.89,1.7
"553","lobby_attendant",1.23,-0.41,0.21
"554","lobbyist",-0.9,1.75,2.07
"555","locksmith",1.81,1.33,0.25
"556","logger",0.81,1.51,2.23
"557","loner",-0.24,-1.07,-1.85
"558","loser",-2.28,-2.68,-1.32
"559","louse",-2.49,-1.21,-0.41
"560","lout",-2.55,-0.74,0.66
"561","lover",2.81,2.02,0.89
"562","lunatic",-2.16,-0.36,1.88
"563","machine_operator_in_a_factory",1.49,0.17,1.87
"564","machine_repairer",1.95,1.26,1.53
"565","madman",-2.71,0.68,2.27
"566","mafioso",-2.33,2.13,1.6
"567","magician",1.25,1.15,1.75
"568","maid",1.7,-1.02,0.99
"569","maiden",1.08,-0.47,-0.41
"570","mail_carrier",1.95,0.18,1.08
"571","malcontent",-2.09,-0.66,0.57
"572","male",0.75,1.2,1.06
"573","malingerer",-1.63,-1.44,-1.07
"574","man",0.99,1.23,0.69
"575","manager",1.12,1.92,1.37
"576","manager_of_branch_store",1.25,1.65,1.54
"577","maniac",-2.64,0.53,2.74
"578","marine",2.26,2.51,2.4
"579","mastermind",1.24,2.72,1.11
"580","maverick",0.88,1.5,1.77
"581","mayor",0.79,2.11,1.44
"582","mechanical_engineer",2.08,1.67,1.23
"583","medic",3.03,2.25,2.32
"584","menace",-2.84,1.14,2.01
"585","mental_case",-1.76,-1.33,0.65
"586","mental_patient",-0.68,-1.8,-0.06
"587","mentor",2.76,2.22,0.56
"588","merchant",1.27,1.15,1.34
"589","midget",0.57,-1.06,0.08
"590","migrant_worker",0.63,-1.29,0.93
"591","millionaire",1.05,2.73,1.32
"592","miner",1.35,0.53,1.78
"593","minister",1.44,1.42,0.5
"594","minor",0.8,-1.7,1.06
"595","minority",0.49,-0.93,0.12
"596","miser",-1,-0.14,-0.87
"597","missionary",1.25,0.77,0.56
"598","mistress",-1.8,-0.38,0.3
"599","mobster",-2.74,2.27,1.84
"600","moron",-2.34,-1.87,-0.05
"601","motel_owner",0.89,0.8,0.69
"602","mother",2.9,2.43,1.35
"603","mother_in_law",0.82,0.57,0.79
"604","mother_in_law_(maternal)",0.62,0.51,0.73
"605","mourner",-0.17,-1.44,-1.79
"606","mugger",-3.38,0.91,1.84
"607","murderer",-3.62,1.51,1.53
"608","murderess",-3.5,1.63,1.24
"609","music_director",1.95,1.49,1.72
"610","musician",2.13,1.34,2.14
"611","myself_as_i_really_am",2.1,0.2,-0.16
"612","myself_as_i_would_like_to_be",3.17,2.08,1.03
"613","myself_as_others_see_me",1.9,0.2,-0.17
"614","myself_as_others_would_like_me_to_be",2.53,1.07,0.94
"615","negotiator",2.05,2.07,1.06
"616","neighbor",1.38,0.03,0.06
"617","nephew",1.74,-0.24,1.17
"618","neurotic",-1.47,-1.31,1.45
"619","newcomer",0.96,-1.27,-0.66
"620","newlywed",2.04,0.93,1.29
"621","newscaster",0.98,1.33,1.87
"622","niece",1.92,-0.33,0.96
"623","night_watchman",1.6,0.9,-0.81
"624","ninny",-1.49,-1.88,-0.22
"625","nitwit",-2.16,-2.15,-0.78
"626","nobody",-1.01,-2.74,-2.21
"627","nonconformist",0.93,0.82,0.7
"628","non_smoker",2.35,1.21,0.01
"629","novice",0.08,-1.4,-0.66
"630","nurse",3,1.53,1.82
"631","nursing_assistant",2.15,0.7,1.18
"632","nut",0.26,-1.09,-0.77
"633","nutritionist",2.25,0.95,0.34
"634","oddball",0.41,-0.4,0.66
"635","offender",-2.56,0.17,1.36
"636","old_geezer",0.38,-1.36,-1.88
"637","old_lady",1.34,-1.5,-1.8
"638","old_man",1.14,-0.82,-1.74
"639","old_woman",1.41,-1.5,-1.97
"640","online_merchant",1.14,1.04,0.29
"641","onlooker",0.28,-1.27,-1.66
"642","ophthalmologist",1.99,0.98,-0.04
"643","opponent",-0.38,0.89,1.08
"644","opportunist",0.49,1.28,1.75
"645","optical_engineer",1.75,1,0.13
"646","optimist",2.58,1.64,1.07
"647","organizer",2.08,1.71,1.39
"648","orphan",0.14,-2.08,-0.51
"649","outlaw",-2.37,0.92,1.84
"650","outsider",-0.12,-0.85,-0.39
"651","pagan",-0.13,-0.28,-0.01
"652","pal",2.71,1.05,0.61
"653","paranoid",-1.73,-1.74,0.55
"654","parent",2.33,2.3,1.53
