"","term","E","P","A"
"204","submissive",-1.37,-1.44,-0.7
"205","suicidal",-2.26,-2.26,1.02
"206","suspicious",-1.37,-0.77,0.73
"207","sympathetic",1.95,1.34,-1.22
"208","tactful",2.44,1.45,-0.92
"209","temperamental",-1.36,-0.84,1.61
"210","terrified",-2.47,-0.65,1
"211","thankful",1.52,0.91,-0.33
"212","thoughtless",-2.23,-1.3,1.27
"213","tolerant",2.74,1.92,-1.6
"214","touched",0.4,-0.33,-0.91
"215","unadventurous",-1.09,-1.54,-1.08
"216","unambitious",-2.01,-2.03,-0.71
"217","uncomfortable",-1.78,-0.87,0.69
"218","uneasy",-1.83,-1.27,0.45
"219","unfriendly",-1.57,-1.08,0.24
"220","unhappy",-2.18,-1.22,-0.25
"221","unimaginative",-1.3,-1.78,-0.67
"222","unpopular",-0.67,-0.53,0.05
"223","unreliable",-2.07,-2.14,1.08
"224","vain",-1.55,-1.2,0.56
"225","vengeful",-2.09,-1.1,1.6
"226","violent",-2.48,-0.77,1.79
"227","virtuous",2.65,1.85,-1.87
"228","warm",2.08,0.98,-1.23
"229","wise",2.25,1.7,-1.31
"230","withdrawn",-1.28,-1.66,-0.98
"231","worried",-1.77,-1.18,1.16
"232","young",1,-0.12,0.03
