"","term","E","P","A","instcodes"
"151","retirement_home",0.74,-0.9,-3.01," 10 100000000 000"
"152","riot",-2.58,2.86,3.45," 01 101100000 001"
"153","saloon",0.48,-0.07,1.12," 10 010000000 000"
"154","sauna",2.18,-0.58,-2.01," 10 010000000 100"
"155","schoolroom",1.62,1.59,1.56," 10 000010000 000"
"156","seminar",0.38,0.61,-0.44," 01 000010000 000"
"157","sermon",1.09,1.57,-1.56," 01 000000100 000"
"158","shopping_center",1.79,0.49,2.41," 10 010000000 100"
"159","shower_room",0.57,-0.53,0.24," 10 100000000 101"
"160","skid_row",-2.08,-0.33,0.79," 10 100000000 100"
"161","slaughterhouse",-3.04,1.06,1.31," 10 010000000 000"
"162","slum",-2.47,-1.19,0.32," 10 100000000 100"
"163","sorority_house",1.07,1.32,2.41," 10 000010000 000"
"164","soup_kitchen",1.22,-0.32,0.71," 10 100000000 000"
"165","squad_car",0.09,1.97,1.66," 10 001000000 001"
"166","store",1.12,0.17,0.2," 10 010000000 000"
"167","street_fair",1.87,0.97,2.21," 11 110000000 000"
"168","street",0.55,0.7,1.14," 10 100000000 100"
"169","subway",-0.15,1.64,2.73," 10 100000000 100"
"170","sunday_school",1.21,0.86,-0.7," 11 100000100 000"
"171","supermarket",1.48,0.22,1.8," 10 010000000 000"
"172","sweatshop",-3.22,0.31,1.64," 10 010000000 000"
"173","swimming_hole",1.41,-0.4,1.21," 10 100000000 000"
"174","tavern",1.13,0.43,1.43," 10 010000000 000"
"175","taxi",0.71,-0.4,0.67," 10 010000000 000"
"176","temple",1.54,1.84,-1.66," 10 000000100 100"
"177","tennis_court",1.44,0.22,1.59," 10 100000000 000"
"178","tent",0.97,-1.08,-0.57," 10 100000010 101"
"179","test",-1.75,1.76,-1.19," 01 000011000 000"
"180","thanksgiving_day",2.23,1.27,0.72," 01 100000010 000"
"181","theater",2.65,0.63,0.36," 10 010010000 000"
"182","topless_bar",-0.95,0.63,2.31," 10 010000001 000"
"183","town_hall",1.15,1.18,-0.15," 10 001100000 000"
"184","town_meeting",0.67,1.45,0.87," 01 000100000 010"
"185","train_station",0.96,1.16,1.61," 10 010000000 000"
"186","vacation",3.32,1.44,1.34," 01 100000000 100"
"187","village",1.82,0.43,-0.29," 10 100000000 000"
"188","waiting_room",-1.22,-0.91,-1.05," 10 001001000 100"
"189","wartime",-3.62,3.41,2.73," 01 000100000 001"
"190","washroom",0.76,-0.47,-0.24," 10 100000000 000"
"191","wedding_night",3.15,1.94,2.02," 01 000000001 001"
"192","wedding_reception",2.94,1.79,2.49," 10 000000010 000"
"193","wedding",2.89,2.48,1.31," 01 000000111 000"
"194","week_night",0.26,-0.59,-0.62," 01 100000000 100"
"195","weekend",2.81,1.29,2.21," 01 100000000 100"
"196","welfare_office",-0.46,0.48,0.03," 10 001000000 000"
"197","whorehouse",-2.63,0.76,2.03," 10 010000001 001"
"198","wilderness",2.43,1.7,-0.92," 10 100000000 100"
"199","worship_service",1.02,1.36,-1.64," 01 000000100 000"
"200","zoo",2.1,0.96,2.16," 10 100000000 000"
