"compliment",1.72,0.8,0.42," 10 111111111 000"
"con",-1.85,0.81,1.31," 01 011111111 000"
"condemn",-1.96,0.11,0.32," 10 001100000 110"
"confide_in",1.13,0.56,-0.2," 10 000111111 000"
"confide_in",1.99,0.68,0.2," 10 000111111 000"
"confine",-1.36,1.64,0.44," 10 001101010 001"
"confound",-0.81,0.77,0.54," 01 111111111 000"
"confront",0.38,0.95,0.69," 10 111111111 100"
"confuse",-0.74,0.4,1.1," 01 111111111 100"
"congratulate",2.03,1.08,0.25," 10 111111111 100"
"consider",1.08,0.73,-0.19," 01 111111111 010"
"console",1.9,1.33,-0.99," 10 111111111 100"
"constrain",-0.75,1.02,0.82," 10 001001011 101"
"consult",1.26,0.56,0.01," 10 111111111 000"
"consult",1.05,0.38,0.17," 10 111111111 000"
"contemplate",0.64,0.2,-0.89," 01 100111000 100"
"contradict",-0.4,0.56,1.01," 10 111111111 110"
"control",-1.14,1.42,0.46," 01 011100010 100"
"convert",0.39,1.72,0.54," 01 000100100 010"
"convict",-0.55,1.61,-0.18," 10 001000000 010"
"convince",0.4,1.72,0.16," 01 111111111 100"
"corner",-0.93,0.58,1.32," 01 001000000 000"
"correct",0.57,0.66,0.24," 10 111111111 100"
"corrupt",-2.49,2,1.23," 01 011111111 000"
"counsel",1.61,1.46,-0.53," 10 011111111 000"
"court",1.79,0.9,0.69," 01 100000001 010"
"criticize",-0.34,0.48,0.48," 10 111111111 100"
"cross_examine",-0.69,1.23,0.53," 10 001000000 010"
"cuddle",1.75,0.96,-0.75," 10 000000011 001"
"cue",0.53,0.36,0.04," 10 111111111 010"
"cure",2.29,2.48,0.02," 10 000001000 100"
"curse",-1.96,0.02,1.36," 10 111111111 100"
"curse",-1.96,-0.14,1.27," 10 111111111 100"
"cuss",-1.43,0.67,1.42," 10 111111111 100"
"damn",-2.37,0.6,0.77," 10 100000100 000"
"dance_with",1.8,1.25,1.66," 10 100000111 011"
"dare",-0.59,0.75,2.2," 10 100100001 100"
"dazzle",1.06,1.22,2.04," 01 111111111 000"
"debate_with",0.5,1.26,1.65," 10 111111110 000"
"deceive",-2.19,0.17,-0.1," 01 111111111 000"
"defend",1.74,0.42,0.01," 10 111111111 110"
"defile",-1.8,0.93,0.7," 10 000000001 111"
"deflate",-1.43,0.28,0.82," 01 111111111 000"
"defy",-1.03,0.8,1.26," 10 011111110 000"
"degrade",-2.3,0.23,0.55," 11 111111111 110"
"delay",-0.91,0.3,-0.3," 01 011111110 000"
"delight",2.44,1.74,1.25," 01 111111111 100"
"delude",-1.23,0.5,0.04," 01 111111111 000"
"demean",-1.71,0.6,0.32," 10 111111111 100"
"demoralize",-2.23,0.8,0.37," 01 111110010 000"
"denounce",-1.01,0.9,0.26," 10 111111111 010"
"deprave",-1.84,0.37,0.42," 01 000000001 000"
"deprecate",-1.24,-0.32,0.52," 10 111111111 100"
"deprive",-2.17,0.24,0.47," 01 011111110 100"
"deride",-1.35,-0.04,0.67," 10 111111111 010"
"desert",-2.2,-0.1,0.63," 01 110100010 010"
"desire",1.03,0.69,1.28," 01 000000001 000"
"desire_sexually",1.34,0.77,1.05," 11 000000001 011"
"despise",-2,0.01,0.29," 01 111111111 100"
"destroy",-3.04,1.55,0.64," 10 010111110 010"
"detain",-0.59,0.86,0.73," 10 011111111 001"
"deter",-0.78,0.65,0.45," 01 011111111 000"
"detest",-1.91,0.21,0.25," 01 111111111 000"
"direct",0.89,1.36,-0.18," 10 011111111 000"
"disable",-3.24,0.87,0.85," 10 001001000 001"
"disagree_with",0.3,0.76,0.98," 10 111111111 000"
"disappoint",-1.55,0.27,0.38," 01 111111111 100"
"disbelieve",-0.66,0.14,-0.14," 01 111111111 000"
"discipline",0.18,1.28,-0.27," 10 011111111 100"
"disconcert",-1,0.34,0.5," 01 111111111 000"
"discourage",-1.15,0.54,0.3," 10 111111111 100"
"discredit",-2.16,0.94,0.59," 10 111111111 010"
"discriminate_against",-2.75,0.81,0.15," 01 011111111 010"
"disenchant",-1.01,0.3,0.3," 01 111111111 100"
"disgrace",-1.93,0.62,0.95," 01 111111111 010"
"disillusion",-1.71,0.65,0.47," 01 111111111 000"
"dislike",-1.05,0,0.48," 01 111111111 100"
"disobey",-0.98,0.2,1.4," 10 011111111 000"
"displease",-1.41,0.03,0.24," 01 111111111 100"
"disregard",-1.5,0.54,0.46," 01 111111111 010"
"disrespect",-1.94,0.16,1.04," 01 111111111 100"
"dissuade",0.26,1.55,0.18," 01 111111111 000"
"distress",-1.41,0.08,0.58," 01 111111111 100"
"distrust",-1.17,0.07,0," 01 111111111 100"
"disturb",-1.07,0.24,1.03," 01 111111111 010"
"divert",-0.37,0.8,0.53," 10 111111111 110"
"divorce",-0.84,0.16,0.72," 10 000000001 010"
"dog",-1.13,0.68,1.01," 10 111111111 000"
"dominate",-1.15,2.04,0.74," 01 111111111 000"
"dope",-2.19,0.35,0.82," 01 001001000 100"
"double_cross",-2.72,0.69,0.59," 01 111111111 010"
"doubt",-0.69,0.01,-0.08," 01 111111111 100"
"dress",0.87,0.2,-0.43," 10 000001010 101"
"drug",-2.3,0.92,0.8," 10 001001000 000"
"dupe",-1.62,0.34,0.85," 01 111111111 000"
"educate",2.07,1.95,0.24," 10 011111111 100"
"elude",-0.51,0.25,-0.23," 01 111111111 010"
"embarrass",-1.27,0.67,0.77," 01 111111111 010"
"embrace",1.93,1.1,0.49," 10 100000011 001"
"emulate",0.11,0.01,0.57," 01 111111111 010"
"encourage",2.21,1.75,-0.5," 10 111111111 100"
"endanger",-2.57,0.14,0.55," 01 101001000 100"
"endure",0.41,1.09,-0.23," 01 111111111 000"
"engage",0.58,0.73,0.38," 10 111111111 010"
"enjoy",2.52,1.24,0.57," 01 111111111 100"
"enrage",-1.58,0.71,1.33," 01 111111111 100"
"enrapture",0.54,1.17,0.84," 01 111111111 000"
"enslave",-2.66,1.81,0.58," 10 000100000 001"
"ensnare",-1.01,1.48,1.01," 01 010100000 000"
"entertain",1.59,1.18,1.18," 01 110110011 100"
"enthrall",0.8,1.22,0.62," 01 100110111 100"
"entice",0.06,1.02,1.8," 01 111111011 100"
"entrap",-1.86,1.57,1.33," 01 001100000 000"
"entreat",0.27,0.53,0.48," 10 100100011 000"
"envy",-1.52,-0.63,0.73," 01 111111111 010"
"escape",-0.48,0.46,1.33," 10 101100001 000"
"esteem",1.41,1.4,-0.02," 01 111111111 100"
"evade",-0.9,-0.02,0.18," 01 001000000 000"
"evaluate",0.04,0.46,-0.03," 01 111111111 100"
"evict",-1.47,1.6,0.42," 10 011000000 000"
"exalt",0.55,0.89,0.8," 10 110110101 100"
"examine",0.22,0.56,0.41," 10 100001011 100"
"excite",0.92,1.45,1.48," 01 100000011 101"
"exclude",-2.01,0.92,0.93," 10 100100001 010"
"excuse",1.5,0.75,-0.56," 10 111111111 000"
"execute",-2.47,2.73,0.79," 10 001000000 001"
"exhaust",-0.78,0.88,1.01," 01 110000011 100"
"exhibit",-1.06,0.57,1.05," 10 001100011 010"
"exonerate",0.49,1.52,-0.27," 10 101100111 010"
"experience",1.04,1,0.21," 01 100010101 000"
"explain",1.69,1.31,-0.47," 10 100100111 010"
"exploit",-1.95,1.38,0.64," 01 110100011 000"
"expose",-1.13,0.87,1.04," 10 011110101 010"
"extol",0.79,0.41,0.32," 10 111111111 010"
"eye",0.03,0.51,0.86," 10 100001011 000"
"face",1.01,0.97,0.77," 10 111010011 000"
"favor",0.42,0.29,0.09," 01 100110011 010"
"fear",-1.47,-0.17,-0.16," 01 111111111 000"
"feed",1.51,1.56,0.18," 10 100001010 101"
"fight",-1.7,0.68,1.13," 10 101100011 001"
"fine",-0.65,0.8,0.21," 10 001000010 000"
"fix",-1.38,0.56,0.75," 01 111100011 000"
"flail",-1.43,1.21,1.35," 10 001000011 001"
"flatter",0.93,0.13,0.24," 10 111111111 000"
"flee",-0.13,-0.18,1.01," 10 101100011 000"
"flunk",-0.69,0.72,0.02," 10 000010000 000"
"fluster",-0.83,0.19,0.84," 01 111111111 000"
"foil",-1.49,0.62,1.36," 01 001100000 010"
"follow",-0.02,0.13,0.14," 10 101000011 000"
"fondle",1.01,0.92,0.35," 10 000000011 101"
"fool",-0.96,0.18,0.64," 01 111100011 000"
"force",-1.25,1.03,0.99," 10 001100011 100"
"forget",-1.23,-0.4,0.18," 01 100011011 010"
"forgive",2.41,2.54,-0.52," 01 100000111 100"
"forsake",-1.24,0.62,0.17," 01 100100110 000"
"fox",-0.77,0.62,1.61," 01 111100011 000"
"frame",-2.46,1.81,1.3," 01 011100000 010"
"freak_out",-0.75,0.45,1.54," 01 100000001 000"
"frighten",-1.43,0.94,1.31," 01 101000111 100"
"frisk",-0.65,1.19,1.01," 10 001000000 001"
"frustrate",-1.44,0.71,0.73," 01 101100011 100"
"glorify",1.08,1.32,0.38," 10 000100100 010"
"goad",-0.78,0.36,0.97," 01 100100011 000"
"govern",-0.32,1.57,0.22," 10 000100000 010"
"grab",-0.71,1.94,1.85," 10 101001011 001"
"gratify",1.25,0.94,-0.15," 01 100100011 100"
"greet",1.36,1,0.34," 10 111111110 000"
"grieve_for",0.82,-0.09,-0.35," 01 000000110 000"
"guard",1.02,1.98,0.53," 10 001100000 010"
"guide",1.59,1.32,-0.08," 10 111111111 000"
"gyp",-2.06,0.13,0.54," 01 010000000 000"
"hail",0.45,0.5,0.45," 10 100100010 000"
"halt",0.03,0.69,0.78," 10 001000001 110"
"handcuff",-0.96,1.71,0.97," 10 001000000 001"
"harangue",-0.94,0.78,1.43," 10 111111111 000"
"harass",-1.98,-0.02,1.3," 10 101100011 000"
"harm",-2.67,1.55,0.7," 10 101101011 100"
"hassle",-1.64,0.55,1.09," 10 101100011 000"
"hate",-2.77,0.09,0.77," 01 100100000 100"
"haunt",-1.4,0.67,0.57," 01 100000000 010"
"haze",-1.51,0.24,0.36," 10 100010100 000"
"heal",1.93,1.42,0.18," 10 000001110 100"
"heckle",-1.18,-0.31,1.28," 10 000100110 000"
"help",2.33,1.49,0.13," 10 111111111 100"
"hide",-0.13,0.6,0.61," 01 001000001 110"
"hide_from",-0.54,-0.42,0.29," 01 101100000 010"
"hinder",-1.56,0.45,0.56," 01 111100000 010"
"hire",1.11,1.78,0.1," 10 010000000 000"
"hit",-1.89,0.37,1.46," 10 101000011 101"
