"obey",1.17,-0.02,-1.23
"observe",0.73,0.06,-0.05
"obstruct",-2.24,-0.69,1.63
"oppose",0.01,0.62,0.94
"order",-0.79,0.19,1.16
"overcharge",-1.59,-0.45,0.72
"overpower",0.59,0.97,0.43
"overwork",-1.54,-0.87,0.78
"pamper",0.94,0.24,-0.47
"pay_for",0.84,0.64,-0.43
"pay_for_something",0.89,0.68,-0.03
"peek_at",-1.67,-1.17,-0.36
"peep_at",-1.96,-1.51,0.52
"pester",-2.28,-1.61,1.73
"photograph",1.55,1.24,-0.56
"pinch",-1.19,-0.23,0.75
"place_order_with",0.85,0.99,0.14
"play_with",1.77,0.97,0
"point_at",-0.54,-0.72,0.55
"praise",0.2,0.13,-0.49
"promise_something",0.15,0.31,0.34
"prompt",0.64,0.38,0.12
"propose_marriage_to",2.4,2.01,-0.02
"prosecute",0.14,0.35,0.09
"protect",2.42,1.92,-0.32
"pull_away_from",-0.49,-0.42,-0.17
"punch",-1.19,0.38,1.8
"pursue",-0.97,-0.35,0.87
"push",-0.62,0.45,0.9
"put_to_bed",1.2,1.25,-0.57
"query",1.19,0.57,-0.89
"quiz",1.07,1.23,-0.72
"raise_the_pay_of",1.77,1.54,-0.58
"rant_at",-1.54,-1.26,1.18
"rape",-2.85,-1.75,1.73
"ravish",-2.1,-1.85,1.47
"reason_with",1.33,1.19,-0.74
"reassure",2.29,1.5,-1.72
"rebuff",-1.35,-0.34,0.64
"reform",1.7,1.37,-1.03
"rehabilitate",1.88,1.71,-0.4
"remind",1.36,0.84,-0.49
"reply_to",1.12,1.08,-0.15
"reprimand",-1.62,0.02,1.29
"request_something_from",0.58,0.7,-0.64
"rescue",2.16,2.19,-0.54
"restrain",-0.7,0.16,0.26
"retaliate_against",-0.91,-0.67,0.91
"reward",2.21,1.7,-0.77
"rib",-1.65,-0.82,1.3
"ridicule",-2.62,-1.57,1.39
"rob",-2.26,-0.31,1.44
"rouse",0.72,0.28,0.35
"salute",2.03,1.01,-1.19
"save",1.93,1.73,0.78
"say_farewell_to",-0.27,0.34,-0.3
"scowl_at",-2.4,-0.81,1.27
"scratch",-1.85,-0.61,1.45
"scream_at",-2.07,-1.08,1.52
"search",-1.6,-0.36,0.71
"seduce",-0.65,0.29,0.26
"seize",-0.4,0.33,0.91
"sell_something_to",0.81,0.45,0.38
"sentence",-1.1,-0.33,1.09
"serenade",1.62,0.73,-0.86
"serve",2.05,1.62,-0.48
"sexually_arouse",-1.18,-1.15,0.79
"sexually_proposition",-1.39,-1.2,1.16
"shake_hands_with",1.72,1.25,-0.88
"share_something_with",0.98,0.7,-0.33
"shoot",-2.34,-0.32,1.49
"shout_at",-1.74,-0.55,1.43
"show_something_to",1.46,0.56,-0.66
"silence",-0.57,0.07,1.01
"sing_to",1.8,0.63,-0.81
"sit_next_to",1.07,0.53,-1.21
"slap",-1.86,-0.58,2.36
"slug",-1.97,0.31,2.23
"smile_at",2.76,1.9,-0.93
"smirk_at",1.51,0.68,-0.63
"snarl_at",-1.04,0.03,1.24
"snuggle",0.42,0.2,-1.42
"sock",-2.4,-0.67,2.12
"soothe",1.5,1.13,-1.23
"sound_out",1.64,0.95,-1.02
"spank",-1.39,-0.85,1.47
"squeeze",-1.12,-0.45,1.09
"stab",-2.58,-1.44,1.72
"stammer_at",-1.83,-1.56,0.09
"stare_at",-1.2,-0.45,0.42
"stare_down",-0.58,-0.61,0.17
"steal_from",-2.33,-1.48,1.16
"stop",-0.36,0.38,0.12
"strangle",-2.65,-0.53,1.19
"strip",-1.57,-0.65,1.19
"stroke",1.17,0.25,-0.88
"subdue",-2.11,-1.24,1.26
"submit_to",-1.24,-1.72,-0.51
"suck_up_to",-2.27,-1.36,0.05
"sue",0.4,0.9,0.34
"suggest_something_to",1.78,1.18,-0.41
"surprise",1.36,0.96,0.27
"sympathize_with",1.93,1.39,-1.23
"tackle",-0.39,0.59,1.54
"talk_shop_with",1.46,0.72,-0.61
"talk_to",1.65,0.98,-0.69
"thank",2.37,1.55,-0.8
"threaten",-2.08,-0.53,1.63
"tickle",0.65,0.28,0.96
"toady_to",-1.45,-1.02,0.38
"torment",-2.33,-0.87,1.78
"torture",-2.55,-1.05,2.16
"touch",-0.76,-0.44,0.26
"train",1.57,1.67,-0.32
"transact_business_with",1.22,0.87,-0.61
"treat",2.03,1.06,-0.74
"tug",-0.96,0.28,1.19
"turn_to",1.71,0.37,-1.08
"underpay",-1.82,-1.36,1.05
"undress",-2.02,-0.93,1.31
"warn",1.51,1.12,-0.18
"wash",1.9,1.19,-0.51
"watch",0.3,-0.06,-0.32
"welcome",2.42,1.49,-0.7
"whip",-2.08,-0.38,1.88
"whisper_to",-0.38,-0.89,-0.72
"wink_at",0.29,0.3,-0.02
"work",-1.09,-0.41,0.43
"wrestle_with",-1.68,0.02,1.61
"yield_to",-0.77,-0.61,0.28
