"indecisive",-0.75,-1.25,0.14," 10 010000000 000"
"independent",1.56,1.43,0.97," 10 010000000 000"
"indifferent",-0.56,-0.85,-0.29," 10 010000000 000"
"industrious",1.54,2.09,0.96," 10 010000000 000"
"inexperienced",-0.18,-1.16,1.38," 10 000100000 000"
"inhibited",-0.9,-0.75,-0.44," 10 010000000 000"
"innocent",1.26,-0.43,-0.35," 10 000100000 000"
"inquisitive",1,0.97,1.64," 10 010000000 000"
"insane",-1.74,-1.2,0.11," 10 001100000 000"
"insecure",-0.94,-1.71,-0.52," 10 010000000 000"
"insensitive",-2.07,0.48,1.22," 10 010000000 000"
"insincere",-2.1,-0.94,1.11," 10 010000000 000"
"intellectual",1.29,1.46,-0.27," 10 011000000 000"
"intelligent",1.81,1.28,0.22," 10 010000000 000"
"intimidated",-1.11,-1.26,-0.13," 10 100000000 000"
"intoxicated",-0.92,-0.71,1.5," 10 000100000 000"
"introspective",0.77,0.23,-0.4," 10 010000000 000"
"introverted",-0.41,-1.73,-1.32," 10 010000000 000"
"irritable",-1.26,-0.14,0.2," 10 010000000 000"
"jealous",-1.27,-0.5,0.73," 10 110000000 000"
"jewish",0.51,0.53,0.17," 10 001000000 000"
"jittery",-0.74,-0.78,0.46," 10 010000000 000"
"kind",2.27,0.79,-0.19," 10 010000000 000"
"knowledgeable",1.84,1.48,-0.17," 10 000100000 000"
"languid",-0.23,-0.43,-1.04," 10 000100000 000"
"lazy",-1.67,-1.34,-0.03," 10 010000000 000"
"let_down",-1.06,-1.71,-0.65," 10 000100000 000"
"light_hearted",1.66,0.43,1.29," 10 010000000 000"
"lively",1.24,0.78,2.44," 10 010000000 000"
"lonely",-1.69,-0.75,-0.83," 10 100000000 000"
"lost",-1.05,-1.66,0.4," 10 000100000 000"
"loved",2.66,1.64,0.14," 10 000100000 000"
"loyal",1.84,1.13,-0.48," 10 010000000 000"
"lucky",1.33,0.51,0.76," 10 000100000 000"
"lustful",-0.62,0.64,1.77," 10 100000000 000"
"male",1.21,1.45,0.75," 10 001000000 000"
"manipulative",-1.27,1.17,0.5," 10 010000000 000"
"married",1.6,0.71,0.54," 10 001000000 000"
"masculine",1.24,1.49,0.83," 10 010000000 000"
"mature",1.98,1.52,-0.25," 10 010100000 000"
